17:16:24.109 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:16:24.110 [ApplicationImpl pooled thread 28] INFO  com.browserstack.utils.Helpers - null
17:16:24.112 [ApplicationImpl pooled thread 28] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:19:53.738 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:19:53.739 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
17:19:53.741 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:20:53.647 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:20:53.647 [ApplicationImpl pooled thread 20] INFO  com.browserstack.utils.Helpers - null
17:20:53.648 [ApplicationImpl pooled thread 20] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:21:40.637 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:21:40.639 [ApplicationImpl pooled thread 29] INFO  com.browserstack.utils.Helpers - null
17:21:40.640 [ApplicationImpl pooled thread 29] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:23:01.643 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:23:01.643 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - null
17:23:01.646 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:52:30.703 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:52:30.703 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - null
17:52:30.706 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:53:18.362 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:53:18.363 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
17:53:18.364 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:54:23.784 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:54:23.784 [ApplicationImpl pooled thread 60] INFO  com.browserstack.utils.Helpers - null
17:54:23.785 [ApplicationImpl pooled thread 60] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:54:41.799 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:54:41.800 [ApplicationImpl pooled thread 59] INFO  com.browserstack.utils.Helpers - null
17:54:41.801 [ApplicationImpl pooled thread 59] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:55:32.655 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:55:32.655 [ApplicationImpl pooled thread 57] INFO  com.browserstack.utils.Helpers - null
17:55:32.656 [ApplicationImpl pooled thread 57] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
17:57:29.579 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - cucumber java
17:57:29.579 [ApplicationImpl pooled thread 62] INFO  com.browserstack.utils.Helpers - null
17:57:29.580 [ApplicationImpl pooled thread 62] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:00:48.403 [ApplicationImpl pooled thread 64] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:00:48.403 [ApplicationImpl pooled thread 64] INFO  com.browserstack.utils.Helpers - null
18:00:48.406 [ApplicationImpl pooled thread 64] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:02:09.178 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:02:09.178 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - null
18:02:09.179 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:06:53.227 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - cucumber java
18:06:53.227 [ApplicationImpl pooled thread 55] INFO  com.browserstack.utils.Helpers - null
18:06:53.228 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
18:07:20.837 [ApplicationImpl pooled thread 55] INFO  c.b.l.BrowserStackRunExtension - cucumber java
